,name,region,group,inosinate,guanylate,adenylic,glutamate,aspartate,threonine,serine,asparagine,glutamine,proline,glycine,alanine,valine,cysteine,methionine,isoleucine,leucine,tyrosine,phenylalanine,tryptophan,lysine,histidine,arginine,source,judgment
209,fish sauce China Shantou,China Chantou,Seasonings and Spices,,,,335.0,162.0,162.0,109.0,0.0,,112.0,119.0,246.0,207.0,14.0,155.0,119.0,153.0,120.0,36.0,,305.0,153.0,14.0,"Huifeng Ren et al (1993) Nippon Suisan Gakkaishi 59, 11, 1929-1935",acceptable
210,fish sauce China Xiamen,China Xiamen,Seasonings and Spices,,,,336.0,116.0,128.0,20.0,0.0,,53.0,136.0,341.0,241.0,9.0,143.0,114.0,137.0,83.0,36.0,,381.0,65.0,5.0,"Huifeng Ren et al (1993) Nippon Suisan Gakkaishi 59, 11, 1929-1935",acceptable
211,Fish sauce Ngan-pya-ye,Myanmar,Seasonings and Spices,,,,512.85,234.7,155.17,13.15,,,0.0,157.8,305.08,239.33,0.0,99.94,194.62,362.94,186.73,136.76,0.0,320.86,57.86,34.19,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",good
212,Fish sauce Patis,Philippine,Seasonings and Spices,0.0,0.0,,988.1,559.65,481.75,418.2,,,55.35,328.0,686.75,649.85,250.1,395.65,506.35,709.3,0.0,266.5,0.0,1143.9,670.35,30.75,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",good
213,"Fish sauce, Bakasang",Indonesia,Seasonings and Spices,0.0,,,727.0,362.0,60.0,465.0,,,,72.0,484.0,476.0,277.0,360.0,963.0,350.0,192.0,1039.0,,595.0,44.0,349.0,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",good
214,"Fish sauce, Ishiru, sardin",Japan Ishikawa,Seasonings and Spices,,,,466.0,355.0,213.0,216.0,0.0,0.0,108.0,218.0,306.0,260.0,0.0,148.0,275.0,437.0,0.0,178.0,0.0,395.0,185.0,294.0,M. Mori (2011) Doctoral dissertation of Iwate University,acceptable
215,"Fish sauce, Ishiru, squid",Japan Ishikawa,Seasonings and Spices,,,,1014.0,986.0,443.0,479.0,0.0,0.0,429.0,408.0,506.0,431.0,0.0,209.0,325.0,362.0,56.0,327.0,0.0,753.0,164.0,226.0,M. Mori (2011) Doctoral dissertation of Iwate University,very good
216,"Fish sauce, Myulchichot",Korea,Seasonings and Spices,,,,1079.44,762.2,393.46,337.84,,,214.24,257.5,646.84,537.66,201.88,861.08,442.9,721.0,127.72,391.4,0.0,795.16,451.14,0.0,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",very good
217,"Fish sauce, Nam-pla",Thailand,Seasonings and Spices,0.0,0.0,,950.0,760.0,460.0,360.0,,,230.0,340.0,700.0,590.0,,230.0,360.0,450.0,50.0,310.0,90.0,890.0,320.0,0.0,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",good
218,"Fish sauce, Nuoc mam",Vietnam,Seasonings and Spices,,,,1903.1,1150.0,700.0,610.0,,,330.0,460.0,1010.0,830.0,,270.0,390.0,490.0,60.0,420.0,90.0,1360.0,460.0,80.0,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",very good
219,"Fish sauce, Prahoc",Cambodia,Seasonings and Spices,,,,1579.2,481.6,308.0,229.6,,,0.0,179.2,660.8,638.4,0.0,408.8,408.8,968.8,0.0,0.0,0.0,812.0,280.0,0.0,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",very good
220,"Fish sauce, Yuru",China,Seasonings and Spices,0.0,,,828.4,478.8,304.0,191.52,,,65.36,293.36,506.16,503.12,117.04,255.36,275.44,580.64,141.36,224.96,0.0,808.64,194.56,0.0,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",good
221,Flathead flounder,Japan,Fishes and Shellfishes,0.0,,,10.0,0.0,17.1,6.1,,,26.1,28.1,29.0,2.1,,1.0,31.12,2.1,1.1,31.12,,18.1,10.1,5.0,"S. Kounosu et al（1974）Bulletin of Japanese Society of Scientific Fisheries, 40, 9, 909-915",
222,"Flounder, kobujime",Japan,Fishes and Shellfishes,,,,321.9,165.6,8.9,13.2,0.0,2.0,13.1,4.2,70.7,6.7,0.0,0.0,5.6,10.6,6.5,3.8,0.0,28.7,4.1,0.0,source:Umami Information Center,acceptable
223,"Flounder, sashimi",Japan,Fishes and Shellfishes,,,,12.4,0.0,7.0,10.2,0.0,0.0,0.0,3.0,34.4,3.3,0.0,0.0,1.6,7.4,0.0,0.0,0.0,22.3,2.4,0.0,source:Umami Information Center,unexceptional
224,Flying fish grilled and dried,Japan Nagasaki,Fishes and Shellfishes,737.0,,,,,,,,,,,,,,,,,,,,,,,"Mutuko Oomachi (1985)bulletin of Kassui women's univ.28,29-38",
225,"Flying fish, boiled and dried",Vietnam,Fishes and Shellfishes,1900.4,,,46.5,6.2,15.7,10.6,,,10.1,20.6,42.9,8.2,,5.8,7.8,13.2,9.4,17.0,,14.7,458.0,9.1,Ayako Kase et.al (2002)Journal of the Faculty of Nursing and Nutrition Siebold University of Nagasaki,unexceptional
226,"Flying fish, grilled and dried",Japan　Nagasaki,Fishes and Shellfishes,1264.8,,,55.5,11.1,24.8,23.1,,,30.7,40.1,63.2,23.1,,17.1,14.5,24.8,15.4,11.1,5.1,15.2,1167.0,19.6,"Ogushi et.al.(1997)J.Jpn.Soc.Nutr.Food Sci.,50,4,295-301",unexceptional
227,"Flying fish, raw",Japan　Nagasaki,Fishes and Shellfishes,129.0,,,17.9,3.5,9.5,6.5,,,10.7,11.6,20.4,8.6,,6.3,5.8,9.7,7.0,5.3,2.1,15.1,362.0,6.3,"Ogushi et.al.(1997)J.Jpn.Soc.Nutr.Food Sci.,50,4,295-301",unexceptional
228,"Flying fish, salted and dried",Japan　Nagasaki,Fishes and Shellfishes,117.0,,,237.6,91.8,100.2,90.4,,,73.6,93.9,190.7,108.7,,54.7,75.7,131.1,75.7,87.6,28.7,137.4,835.6,110.8,"Ogushi et.al.(1997)J.Jpn.Soc.Nutr.Food Sci.,50,4,295-301",unexceptional
229,Foie gras,France,Meats,,,,195.0,108.0,65.0,90.0,0.0,70.0,67.0,69.0,108.0,84.0,15.0,40.0,64.0,132.0,53.0,60.0,20.0,104.0,39.0,85.0,source:Umami Information Center,unexceptional
230,Frog flounder,Japan Ehime,Fishes and Shellfishes,,,,8.0,1.0,5.0,13.0,,,4.0,48.0,20.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,,20.0,12.0,6.0,"Y. Hiraoka et al. (2011)  Ehime Prefecture Industrial Technology Institute Research Report 49, 19－22",bad
231,"Fruit tomato, flesh and skin",Japan Shizuoka,Vegetables,,,,242.0,48.0,7.0,13.0,20.0,130.0,19.0,1.0,6.0,2.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,3.0,7.0,1.0,Umami Information Center,unexceptional
232,"Fruit tomato, seeds and jelly",Japan,Vegetables,,,,398.0,37.0,5.0,4.0,23.0,130.0,7.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0,5.0,2.0,Umami Information Center,acceptable
233,Fugu/Globe fish,Japan,Fishes and Shellfishes,230.0,,,6.0,1.0,3.0,2.0,0.0,0.0,2.0,21.0,16.0,4.0,0.0,1.0,3.0,5.0,2.0,2.0,0.0,58.0,1.0,9.0,source:Umami Information Center,bad
234,Furu,China,Seasonings and Spices,,,,381.0,213.0,15.0,17.0,,,81.0,215.0,701.0,379.0,523.0,92.0,396.0,580.0,38.0,394.0,,445.0,0.0,0.0,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",acceptable
235,"Garfish, Hyporhamphus sajori",Japan Ehime,Fishes and Shellfishes,,,,3.0,1.0,5.0,3.0,,,7.0,22.0,16.0,6.0,0.0,2.0,3.0,5.0,2.0,1.0,,25.0,197.0,5.0,"Y. Hiraoka et al. (2011)  Ehime Prefecture Industrial Technology Institute Research Report 49, 19－22",bad
236,Garlic,Japan,Vegetables,,,,8.4,30.3,31.3,3.2,0.0,0.0,7.0,2.0,14.0,22.1,56.0,30.12,4.1,12.0,19.1,16.1,30.12,26.2,16.1,709.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",bad
237,"Giant tiger prawn, frozen",Vietnam,Fishes and Shellfishes,,,,26.6,2.4,7.5,25.4,32.8,156.1,,13.1,42.6,22.3,,12.7,9.4,15.1,12.7,29.7,21.5,17.6,30.7,1.1,"T. Okutsu et al.(2010) Marine technology 3, 1, 37-41",unexceptional
238,Ginger,Japan,Vegetables,,,,10.3,30.1,13.8,28.5,239.3,107.3,3.2,1.6,7.1,16.3,,,6.6,3.3,6.1,2.8,,,6.3,4.4,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",unexceptional
239,Ginger/hine shoga,Japan,Vegetables,,,,19.1,61.5,14.1,63.5,237.7,108.9,,6.2,17.4,13.3,,,4.9,3.0,2.8,2.1,,1.7,6.2,48.2,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",unexceptional
240,Ginko nuts,Japan,Nuts and Seeds,,,,11.0,1.4,4.2,3.0,4.2,15.0,68.0,1.5,11.0,3.2,0.6,1.5,2.2,31.12,0.6,2.3,1.9,0.9,2.1,6.2,Hinako Ito and Hiroshi Ueno,unexceptional
241,Gold sesame seeds,Turkey,Nuts and Seeds,,,,26.0,8.1,1.1,3.0,,,2.0,1.5,4.1,5.0,,0.6,3.5,3.5,3.8,10.2,,,0.8,1.5,"M. Nagashima et al.(2005) J. of Cookery Science of Japan ,38, 6, 455-461",unexceptional
242,Green Asparagas,Japan,Vegetables,,,,36.4,16.2,6.8,83.5,611.0,43.6,37.4,7.2,8.6,40.3,0.0,2.1,19.4,14.2,4.0,17.2,10.6,20.4,18.9,43.2,,unexceptional
243,Green asparagus,Japan,Vegetables,,,,49.0,24.0,14.1,27.2,0.0,0.0,15.0,8.1,13.2,3.3,4.1,4.1,29.1,2.2,7.1,23.1,12.0,14.2,24.1,19.4,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
244,Green Asparagus,Japan　Saga,Vegetables,,,,36.9,176.4,26.7,30.8,,,55.7,7.5,25.1,11.6,3.7,1.9,1.2,2.9,1.4,2.6,0.5,5.8,2.7,17.5,,unexceptional
245,Green Asparagus,Japan　Saga,Vegetables,,,,96.4,193.8,20.7,86.4,,,66.7,18.7,129.9,42.1,5.5,11.2,7.7,30.8,12.0,17.1,1.2,52.8,17.0,4.7,,unexceptional
246,"Green asparagus, lower part",Japan Saga,Vegetables,,,,24.7,12.8,20.4,39.1,,,28.5,8.1,44.3,12.7,2.4,2.8,2.3,5.4,3.0,3.1,0.0,10.9,4.1,13.9,"Y. Ishibasi et al (2002) Kyushu agricultural research 64, 160",unexceptional
247,"Green asparagus, middle part",Japan Saga,Vegetables,,,,79.4,316.6,27.1,60.1,,,71.8,12.9,87.9,24.3,3.9,5.4,2.8,9.1,4.0,6.8,0.7,21.0,8.5,51.3,"Y. Ishibasi et al (2002) Kyushu agricultural research 64, 160",unexceptional
248,"Green asparagus, upper part",Japan Saga,Vegetables,,,,96.4,193.8,20.7,86.4,,,66.7,18.7,129.9,42.1,5.5,11.2,7.7,30.8,12.0,18.0,1.2,52.8,17.0,186.0,"Y. Ishibasi et al (2002) Kyushu agricultural research 64, 160",unexceptional
249,"Green laver, fresh",Japan,Algae,0.0,,,10.0,0.0,0.0,0.0,,,5.0,1.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,Umami Information Center,
250,Green peas,Japan,Vegetables,,,,15.4,3.1,12.1,3.1,0.0,0.0,10.0,10.1,24.2,17.1,0.0,2.0,9.1,13.1,18.0,13.0,4.0,17.0,6.0,17.4,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
251,Green pepper,Japan,Vegetables,,,,31.8,21.3,10.8,14.4,49.2,117.2,,1.5,8.9,12.8,,,6.3,6.3,,,,,0.0,8.5,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",unexceptional
252,green perilla,Japan,Vegetables,,,,4.3,5.6,0.7,2.3,9.9,6.0,0.4,0.4,2.1,1.1,0.0,0.0,30.12,30.12,1.4,31.12,0.6,0.4,0.7,1.5,Hinako Ito and Hiroshi Ueno,bad
253,"Green tea leaf, low quality tea",Japan,Beverages,,,,184.5,124.9,22.1,82.4,,,,2.1,20.2,8.2,,,7.5,3.2,8.5,14.2,,10.1,6.6,38.9,"Society for the Study of Tea-Making(1973) Tea Research Journal 40, 58-66",unexceptional
254,"Green tea leaf, Sencha, non-premium grade",Japan,Beverages,,,,214.3,172.9,29.1,114.3,,,,3.8,24.7,14.2,,,11.7,10.7,16.3,24.8,,13.1,7.6,64.2,"Society for the Study of Tea-Making(1973) Tea Research Journal 40, 58-66",unexceptional
255,"Green tea leaf, Sencha, premium grade",Japan,Beverages,,,,217.4,245.8,48.0,202.0,,,,5.0,28.3,18.9,,,14.4,15.5,25.7,31.4,,28.7,10.3,198.1,"Society for the Study of Tea-Making(1973) Tea Research Journal 40, 58-66",unexceptional
256,"Green tea, Deep stamed sencha 2nd grade",Japan,Beverages,,,,328.0,308.0,,157.0,38.0,711.0,,,,,,,,,,,,,,1685.0,,acceptable
257,"Green tea, Deep steamed sencha 1st grade",Japan,Beverages,,,,280.0,263.0,,128.0,28.0,588.0,,,,,,,,,,,,,,1240.0,,unexceptional
258,"Green tea, Deep steamed sencha 3rd grade",Japan,Beverages,,,,327.0,311.0,,140.0,36.0,824.0,,,,,,,,,,,,,,1620.0,,acceptable
259,"Green tea, Gylkuro 1st grade",Japan,Beverages,,,,42.0,46.0,4.0,8.0,10.0,29.0,1.0,0.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,38.0,,unexceptional
260,"Green tea, Gyokuro",Japan,Beverages,,0.0,,507.0,525.0,47.0,101.0,129.0,377.0,13.0,4.0,57.0,21.0,0.0,2.0,22.0,26.0,26.0,22.0,20.0,42.0,28.0,784.0,,good
261,"Green tea, Gyokuro",Japan Shizuoka,Beverages,10.0,,,316.0,364.0,36.0,81.0,,,14.0,2.0,39.0,18.0,3.0,1.0,16.0,20.0,26.0,25.0,29.0,25.0,13.0,257.0,,acceptable
262,"Green tea, Gyokuro 1st grade",Japan,Beverages,,,,226.0,186.0,,86.0,22.0,528.0,,,,,,,,,,,,,,942.0,,unexceptional
263,"Green tea, Gyokuro 1st grade",Japan,Beverages,,,,582.0,672.0,,159.0,269.0,792.0,,,,,,,,,,,,,,2055.0,,good
264,"Green tea, Gyokuro 1st grade",Japan,Beverages,,,,310.0,270.0,,100.0,30.0,600.0,,,,,,,,,,,,,,1110.0,,acceptable
265,"Green tea, Gyokuro 2nd grade",Japan,Beverages,,,,255.0,255.0,,135.0,31.0,688.0,,,,,,,,,,,,,,850.0,,unexceptional
266,"Green tea, Gyokuro 2nd grade",Japan,Beverages,,,,510.0,630.0,,153.0,227.0,702.0,,,,,,,,,,,,,,1402.0,,good
267,"Green tea, Gyokuro 2nd grade",Japan,Beverages,,,,274.0,220.0,,104.0,30.0,650.0,,,,,,,,,,,,,,954.0,,unexceptional
268,"Green tea, Gyokuro 2nd grade",Japan,Beverages,,,,22.0,23.0,2.0,4.0,5.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,,unexceptional
269,"Green tea, Gyokuro 3rd grade",Japan,Beverages,,,,263.0,253.0,,112.0,30.0,661.0,,,,,,,,,,,,,,1244.0,,unexceptional
270,"Green tea, Gyokuro 3rd grade",Japan,Beverages,,,,471.0,561.0,,152.0,154.0,622.0,,,,,,,,,,,,,,1090.0,,acceptable
271,"Green tea, Gyokuro 3rd grade",Japan,Beverages,,,,267.0,218.0,,110.0,31.0,721.0,,,,,,,,,,,,,,906.0,,unexceptional
272,"Green tea, Gyokuro 3red grade",Japan,Beverages,,,,15.0,16.0,1.0,3.0,4.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,unexceptional
273,"Green tea, Gyokuro used leaves",Japan,Beverages,,0.0,,34.0,36.0,4.0,8.0,11.0,29.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,93.0,,unexceptional
274,"Green tea, Kabuse 1st grade",Japan,Beverages,,,,406.0,435.0,,106.0,73.0,457.0,,,,,,,,,,,,,,344.0,,acceptable
275,"Green tea, Kabuse 2nd grade",Japan,Beverages,,,,433.0,436.0,,115.0,96.0,706.0,,,,,,,,,,,,,,683.0,,acceptable
276,"Green tea, Kabuse 3rd grade",Japan,Beverages,,,,401.0,495.0,,112.0,124.0,611.0,,,,,,,,,,,,,,708.0,,acceptable
277,"Green tea, Sencha",Japan,Beverages,,,,1490.0,480.0,50.0,100.0,,,20.0,0.0,50.0,20.0,0.0,0.0,20.0,20.0,30.0,30.0,20.0,30.0,20.0,380.0,,very good
278,"Green tea, Sencha 1st grade",Japan,Beverages,,,,372.0,318.0,,137.0,45.0,1582.0,,,,,,,,,,,,,,1440.0,,acceptable
279,"Green tea, Sencha 2nd grade",Japan,Beverages,,,,332.0,274.0,,145.0,31.0,1081.0,,,,,,,,,,,,,,1224.0,,acceptable
280,"Green tea, Sencha 3rd grade",Japan,Beverages,,,,320.0,279.0,,147.0,42.0,1089.0,,,,,,,,,,,,,,1012.0,,acceptable
281,"Green tea, Sencha lower grade",Japan Shizuoka,Beverages,,,,199.3,227.0,27.7,62.3,32.9,39.3,,,29.1,,,,,,,26.4,,19.6,,43.1,,unexceptional
282,"Green tea, Sencha lower grade",Japan Shizuoka,Beverages,,,,261.7,219.5,27.1,72.5,28.6,148.4,,,30.1,,,,,,,20.2,,14.4,,196.0,,unexceptional
283,"Green tea, Sencha lower grade",Japan Shizuoka,Beverages,,,,253.1,191.1,24.1,63.6,14.3,158.7,,,20.8,,,,,,,18.7,,14.9,,26.4,,unexceptional
284,"Green tea, Sencha lower grade",Japan Shizuoka,Beverages,,,,190.1,207.7,27.4,51.7,21.3,37.0,,,29.1,,,,,,,24.0,,28.4,,23.4,,unexceptional
285,"Green tea, Sencha Lower grade",Japan Shizuoka,Beverages,,,,243.5,262.2,26.9,71.5,30.4,50.0,,,26.1,,,,,,,23.0,,15.5,,55.3,,unexceptional
286,"Green tea, Sencha middle grade",Japan Shizuoka,Beverages,,,,328.1,242.2,32.7,69.0,23.8,214.2,,,22.7,,,,,,,38.5,,31.3,,242.7,,acceptable
287,"Green tea, Sencha middle grade",Japan Shizuoka,Beverages,,,,302.7,204.0,27.1,86.8,15.6,323.0,,,36.2,,,,,,,11.6,,13.8,,308.9,,acceptable
288,"Green tea, Sencha middle grade",Japan Shizuoka,Beverages,,,,252.1,311.2,34.8,95.4,23.7,285.3,,,30.3,,,,,,,20.6,,15.7,,325.3,,unexceptional
289,"Green tea, Sencha middle grade",Japan Shizuoka,Beverages,,,,416.9,316.7,35.4,119.3,21.8,599.7,,,40.5,,,,,,,11.1,,17.8,,450.2,,acceptable
290,"Green tea, Sencha middle grade",Japan Shizuoka,Beverages,,,,441.1,352.0,27.9,102.0,18.2,396.8,,,30.2,,,,,,,7.4,,5.5,,245.5,,acceptable
291,"Green tea, Sencha upper grade",Japan Shizuoka,Beverages,,,,320.3,222.4,36.2,98.8,22.9,359.2,,,36.3,,,,,,,19.4,,34.3,,739.7,,acceptable
292,"Green tea, Sencha upper grade",Japan Shizuoka,Beverages,,,,275.5,197.2,27.5,77.2,18.8,233.3,,,29.2,,,,,,,9.1,,20.9,,323.8,,unexceptional
293,"Green tea, Sencha upper grade",Japan Shizuoka,Beverages,,,,238.6,161.0,31.2,75.0,19.7,228.8,,,27.7,,,,,,,18.8,,32.3,,541.5,,unexceptional
294,"Green tea, Sencha upper grade",Japan Shizuoka,Beverages,,,,339.0,240.8,37.7,106.0,21.8,311.0,,,33.4,,,,,,,17.1,,32.2,,726.8,,acceptable
295,"Green tea, Snecha upper grade",Japan Shizuoka,Beverages,,,,367.2,236.5,40.3,110.5,26.9,454.7,,,42.3,,,,,,,18.9,,29.6,,909.0,,acceptable
296,"Green tea, Tencha 1st grade",Japan,Beverages,,,,1006.0,982.0,,286.0,422.0,310.0,,,,,,,,,,,,,,2597.0,,very good
297,"Green tea, Tencha 2nd grade",Japan,Beverages,,,,934.0,883.0,,242.0,253.0,206.0,,,,,,,,,,,,,,1994.0,,good
298,"Green tea, Tencha 3rd grade",Japan,Beverages,,,,911.0,845.0,,216.0,284.0,192.0,,,,,,,,,,,,,,1891.0,,good
299,"Green tea, Tencha 3rd grade",Japan,Beverages,,,,911.0,845.0,,216.0,284.0,192.0,,,,,,,,,,,,,,1891.0,,good
300,"Hamanatto, salted natto",Japan Shizuoka,Pulses,,,,7.7,16.9,13.2,14.5,0.0,30.12,670.0,27.8,18.7,3.7,10.0,40.0,600.0,980.0,160.0,24.4,,5.3,9.4,18.6,"K. Ooki et al. (2000) Kyoto Prefectural University report of art and science  Human environment science and agriculture , 52, 1-6",bad
301,Hassaku orange,Japan,Fruits,,,,16.8,22.1,2.9,13.1,128.8,11.5,85.9,1.3,20.1,1.9,,,0.5,0.4,0.0,1.8,,3.1,1.8,29.6,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",unexceptional
302,hatahata fish sauce,Japan,Seasonings and Spices,,,,11.9,24.5,19.12,16.12,,,4.12,287.0,555.0,8.1,26.2,20.9,820.0,,2.12,14.1,,12.4,15.6,28.1,"Ole G. Mouritsen, Lars Duelund, Ghislaine Calleja, et al. Ile=Ile+Leu",unexceptional
303,Hen egg,Japan,Eggs,,,,15.4,5.1,6.2,5.4,,,4.7,2.0,3.0,5.5,1.4,2.9,5.0,12.1,9.2,10.1,,8.7,1.5,8.2,"H. Kawaguchi et al.(1992)Oriental food technical junior college・ Oriental food research center research report 19, 61-68",unexceptional
304,"Hen egg, albumin",Japan,Eggs,,,,0.2,30.12,30.12,30.12,,,30.12,0.0,30.12,30.12,0.3,30.12,30.12,0.0,30.12,0.0,,30.12,30.12,30.12,"H. Kawaguchi et al.(1992)Oriental food technical junior college・ Oriental food research center research report 19, 61-68",bad
305,"Hen egg, yolk",Japan,Eggs,,,,45.8,15.2,18.6,16.2,,,14.1,6.0,9.3,16.6,3.5,8.8,15.1,36.2,27.4,32.0,,26.1,4.6,24.5,"H. Kawaguchi et al.(1992)Oriental food technical junior college・ Oriental food research center research report 19, 61-68",unexceptional
306,Honshimeji Fresh,Japan,Mushrooms,0.0,0.0,,143.0,90.0,30.0,39.0,,,16.0,20.0,148.0,28.0,10.0,6.0,26.0,42.0,20.0,32.0,7.0,49.0,35.0,126.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
307,Horsehair crab H,Japan,Fishes and Shellfishes,,,,90.0,18.0,44.0,50.0,118.0,,102.0,411.0,152.0,89.0,,57.0,69.0,36.0,88.0,115.0,37.0,140.0,28.0,271.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
308,Horsehair crab Leg Male,Japan,Fishes and Shellfishes,,,,22.0,10.0,12.0,23.0,34.0,,383.0,894.0,158.0,14.0,,13.0,5.0,9.0,10.0,7.0,0.0,10.0,11.0,786.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
309,Horsehair crab Leg meat female,Japan,Fishes and Shellfishes,,,,31.0,19.0,13.0,18.0,113.0,,529.0,575.0,141.0,12.0,,17.0,5.0,9.0,19.0,6.0,0.0,11.0,13.0,663.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
310,Horsehea tilefish preserved in miso,Japan,Fishes and Shellfishes,,,,70.0,36.0,26.0,37.0,,,26.0,64.0,59.0,31.0,,13.0,27.0,48.0,26.0,35.0,,69.0,10.0,49.0,,unexceptional
311,Horsehead tilefish,Japan,Fishes and Shellfishes,,,,21.1,2.1,11.1,15.1,,,9.1,17.0,42.0,11.1,,7.0,7.1,14.0,9.1,7.1,,44.0,2.1,20.0,"E. Arai et al (1985) Bulletin of Tokyo Gakugei University Sixth sector Industrial technology · Home affairs ,37,147-152",unexceptional
312,Horsetail,Japan,Vegetables,,,,2.6,1.8,1.8,8.3,5.9,134.0,8.8,0.4,11.1,2.5,0.0,0.0,1.6,2.0,1.2,8.2,0.2,0.3,1.6,1.3,Hinako Ito and Hiroshi Ueno,bad
313,Hot white radish,,Vegetables,,,,1.0,3.1,5.7,5.8,10.0,51.0,5.1,0.6,2.2,4.6,0.0,0.3,2.5,0.8,2.7,1.3,1.4,0.7,2.1,2.2,Hinako Ito and Hiroshi Ueno,bad
314,Iberian pork,Spain,Meats,60.0,,,15.0,2.0,5.0,7.0,,,4.0,11.0,55.0,4.0,0.0,1.0,2.0,4.0,2.0,2.0,0.0,7.0,4.0,6.0,,unexceptional
315,"Indian shrimp, frozen",Philippine,Fishes and Shellfishes,,,,21.0,1.1,12.1,17.1,18.0,40.0,63.0,288.0,47.0,14.1,3.0,10.1,10.1,17.1,6.1,7.1,30.12,21.1,7.1,360.0,"K. Takada et al. (1988) Nippon Suisan Gakkaishi 54, 12, 2173-2179",unexceptional
316,"Indian shrimp, frozen",Saudi Arabia,Fishes and Shellfishes,,,,38.7,4.5,6.5,8.6,37.8,195.6,,669.2,99.5,20.9,,1.3,15.8,14.7,17.4,18.6,10.7,24.6,25.8,936.0,"T. Okutsu et al.(2010) Marine technology 3, 1, 37-41",unexceptional
317,Jack ｍackerel,Japan,Fishes and Shellfishes,272.0,,,13.0,1.0,15.0,3.0,,,6.0,10.0,21.0,6.0,,1.0,1.0,5.0,1.0,1.0,,54.0,289.0,3.0,"S. Kounosu et al（1974）Bulletin of Japanese Society of Scientific Fisheries, 40, 9, 909-915",unexceptional
318,Japanese abalone,Japan,Fishes and Shellfishes,,,,18.4,8.1,22.3,4.4,,,83.0,174.0,7.4,5.2,,13.0,17.1,23.1,25.2,25.1,19.1,16.3,22.1,299.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
319,Japanese artichoke,,Potatoes and Starches,,,,3.1,6.3,4.1,1.4,45.0,10.4,0.8,0.4,2.5,1.8,0.0,0.0,3.3,5.1,2.1,9.6,6.1,1.3,6.1,199.0,Hinako Ito and Hiroshi Ueno,bad
320,Japanese butterbur,Japan,Vegetables,,,,12.9,7.1,3.3,3.6,93.6,17.5,1.8,1.7,2.1,3.5,0.0,0.3,2.4,1.3,2.9,1.3,0.0,1.2,1.6,31.12,"T. Kiuchi et al. (1984) Hiroshima Women's University domestic science department bulletin, 20, 65-77",unexceptional
321,Japanese chive,Japan,Vegetables,,,,25.1,10.8,6.4,15.7,9.6,43.1,3.4,1.1,18.1,6.4,,,4.5,7.2,4.5,5.5,,5.5,,6.2,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",unexceptional
322,Japanese leek,Japan Toyama,Vegetables,,,,13.0,6.7,7.4,17.1,,,0.0,2.3,22.5,6.9,0.0,0.4,2.0,3.9,4.6,3.5,0.0,2.7,1.4,8.1,,unexceptional
323,Japanese leek,Japan,Vegetables,,,,0.3,1.1,31.12,3.8,3.6,34.0,0.5,0.4,0.4,0.9,0.0,0.0,0.8,1.4,0.8,1.6,1.0,0.4,0.8,1.2,Hinako Ito and Hiroshi Ueno,bad
324,Japanese Leek,Japan Toyama,Vegetables,,,,20.9,17.2,8.9,22.3,,,0.0,2.5,25.1,8.7,0.0,0.3,2.9,5.2,5.2,4.6,0.0,3.3,1.3,5.9,,unexceptional
